CPic,Name,Country,City,Ppic,Bias,Heart,Date,Message1,Message
https://flagcdn.com/w320/kr.png,Kenny,Korea,"Seoul,Korea",rw6,Rawhyun,#a5bd5e,8/1/2019,항상 응원하고 있어. 멈추지 말고 나아가자. 끝까지 응원할께.,항상 응원하고 있어. 멈추지 말고 나아가자. 끝까지 응원할께.
https://flagcdn.com/w320/jp.png,비아ꕤ*.ﾟ,Japan,JAPAN,sw5,SEUNGWON,#e4db56,1/1/2020,,"Happy 4th Anniversary, NTX‼️🎉🎊💐 Congratulations on your 4th anniversary of debut❣️👏 I will continue to support you with all my might so that you can celebrate your 5th and 6th anniversary together‼️ Thank you for always performing that I adore and always attracting cool stages♡ NTX, which makes a wide leap every year, is truly proud and precious for me☺️♡ May I continue to see you flutter around the world ‼️ Wish you guys always be healthy and happy✨"
https://flagcdn.com/w320/br.png,"sunny, rawhyun gf!!🇧🇷🤟🏻🤟🏻🤟🏻",Brazil,São Paulo - Brasil.,rw24,rawhyun!!!🤟🏻,#a5bd5e,4/1/2020,그룹 4주년 축하해요!!!🇧🇷🇧🇷🤟🏻🤟🏻🤟🏻🤟🏻❤️‍🩹 4년간 정말 즐거웠던 ntx에게 감사 인사를 전하고 싶었어요!! 그들을 만난 이후로 그들 덕분에 슬픈 순간이 많이 없었습니다!!! 나는 그들을 사랑하고 앞으로 10년을 그들과 함께 보내고 싶습니다!! 브라질에서 만나요!,그룹 4주년 축하해요!!!🇧🇷🇧🇷🤟🏻🤟🏻🤟🏻🤟🏻❤️‍🩹 4년간 정말 즐거웠던 ntx에게 감사 인사를 전하고 싶었어요!! 그들을 만난 이후로 그들 덕분에 슬픈 순간이 많이 없었습니다!!! 나는 그들을 사랑하고 앞으로 10년을 그들과 함께 보내고 싶습니다!! 브라질에서 만나요!
https://flagcdn.com/w320/jp.png,에무,Japan,일본,ch5,changhun,#6d8db7,10/1/2020,"NTX 여러분♡♡ 데뷔 4주년 축하해요🥳🥳 4년차도 모두가 하고 싶은 거 이룰 수 있기를. 항상 많이 노력해줘서 고마워요🥰 지금 이렇게 세계 여러 지역에서 공연을 할 수 있다는 게 너무 자랑스러워요☺️ 오랫동안 모두가 작은 기회를 착실히 잡아서 하나하나 하고 싶은 것을 이뤄가는 모습을 멀리서 지켜봐 온 것 같은데 정말 힘을 받고 있어요🥹 NTX는 나에게 있어서 멋진 음악을 해주는 자랑스러운 팀이고, 8명 모두가 소중한 보물이에요☺️ 앞으로도 전 세계 많은 분들에게 사랑받는 팀으로 높이 날아보자!!","NTX 여러분♡♡ 데뷔 4주년 축하해요🥳🥳 4년차도 모두가 하고 싶은 거 이룰 수 있기를. 항상 많이 노력해줘서 고마워요🥰 지금 이렇게 세계 여러 지역에서 공연을 할 수 있다는 게 너무 자랑스러워요☺️ 오랫동안 모두가 작은 기회를 착실히 잡아서 하나하나 하고 싶은 것을 이뤄가는 모습을 멀리서 지켜봐 온 것 같은데 정말 힘을 받고 있어요🥹 NTX는 나에게 있어서 멋진 음악을 해주는 자랑스러운 팀이고, 8명 모두가 소중한 보물이에요☺️ 앞으로도 전 세계 많은 분들에게 사랑받는 팀으로 높이 날아보자!!"
https://flagcdn.com/w320/kr.png,앤사,Korea,한국,ntx14,8,#EE2424,3/1/2021,4주년 진심으로 축하해~👏👏 NTX 덕분에 지난 4년 행복했어!! 앞으로도 더 많은 엔티플에게 사랑받는 아티스트가 될 너희를 응원할게🩷,4주년 진심으로 축하해~👏👏 NTX 덕분에 지난 4년 행복했어!! 앞으로도 더 많은 엔티플에게 사랑받는 아티스트가 될 너희를 응원할게🩷
https://flagcdn.com/w320/br.png,Jonathan,Brazil,Brazil - João Pessoa,rw5,Rawhyun,#a5bd5e,4/1/2021,,"Dear NTX, Happy 4th anniversary! 💖 I hope there will be many celebrations ahead. I'm proud of you and I'm happy to be an NTFUL! I want you to shine and grow even more and I will always be supporting my beloved group. I love you infinitely! 🥰"
https://flagcdn.com/w320/au.png,strawberry ! 🍓,Australia,"Sydney, Australia",rw12,Rawhyun,#a5bd5e,4/1/2021,,"Hello my NTX !!! I've been an NTFUL since right after Full Of Lovescapes was released, and I've been following your journey since then ! Thank you always for giving me strength and making me so proud to be an NTFUL over these 4 years 🥹🩷 Watching you grow and become more popular has made me so happy and filled me with joy ! Keep making music that you love, and NTFUL will keep following you with all of our hearts. We love you NTX 🫶🫶"
https://flagcdn.com/w320/br.png,라리🤟,Brazil,브라질,h8,Hojun,#81c3ad,4/1/2021,,"Happy 4th birthday!! I'm grateful for your hard work and for making my days happier, you guys are amazing! I want to spend many years with my favorite boys!! 💕🤟💕"
https://flagcdn.com/w320/br.png,viih!,Brazil,"Rio de Janeiro, Brasil",eh3,Eunho,#976a9a,12/1/2021,,"Vocês são a minha inspiração, na primeira vez que vi vocês, foi mágico, me senti ornada em conseguir ver vocês de perto, ouvir a voz de vocês..... Foi magico, agradeço muito por vocês existirem! eu amo vocês!"
https://flagcdn.com/w320/us.png,Pamela,USA,"North Carolina, USA",hjrw,"Hyeongjin, Rawhyun, Yunhyeok",#EE2424,2/1/2022,,"Thank you so much for all the amazing music, dancing, video calls, videos, and everything! I knew you had talent when I saw you on Peak Time. I am so proud of how far you’ve come! The new album is amazing, and I look forward to many more amazing comebacks to come!!!"
https://flagcdn.com/w320/jp.png,나미,Japan,japan,ch4,changhun,#6d8db7,8/1/2022,"4th 축하해🎈 지금까지도, 앞으로도 계속 응원하고 있어😊","4th 축하해🎈 지금까지도, 앞으로도 계속 응원하고 있어😊"
https://flagcdn.com/w320/jp.png,보조개누나,Japan,JAPAN,hj11,hyeongjin,#ebe9e9,8/1/2022,엔티엑스 4주년 축하해~~!벌써 4주년이라니! 이제 데뷔 기념일을 축하하는건 3번째가 되는데 지금까지 함께할 수 있어서 너무 좋았고 앞으로도 그럴거니까 우리 앞으로 더더 좋은 추억을 쌓아가자🤍 다음에 5주년을 맞이할 땐 우리 서로가 지금까지보다 행복했다고 느낄 수 있는 그런 한해를 보내자~! 항상 노력해줘서 고맙고 사랑해!🤍🤍🤍🤍,엔티엑스 4주년 축하해~~!벌써 4주년이라니! 이제 데뷔 기념일을 축하하는건 3번째가 되는데 지금까지 함께할 수 있어서 너무 좋았고 앞으로도 그럴거니까 우리 앞으로 더더 좋은 추억을 쌓아가자🤍 다음에 5주년을 맞이할 땐 우리 서로가 지금까지보다 행복했다고 느낄 수 있는 그런 한해를 보내자~! 항상 노력해줘서 고맙고 사랑해!🤍🤍🤍🤍
https://flagcdn.com/w320/jp.png,유우,Japan,kanagawa/japan,xh10,xiha,#e06e3c,8/1/2022,"내 사랑, 내 힘의 원천! 정말 진심으로 응원합니다!!!!!!!","내 사랑, 내 힘의 원천! 정말 진심으로 응원합니다!!!!!!!"
https://flagcdn.com/w320/jp.png,⭐️💫⭐️,Japan,일본,xh7,xiha,#e06e3c,9/1/2022,NTX의 팬이 되어 인생이 매우 즐겁습니다. NTX의 퍼포먼스를 보면 힘든 일도 잊을 수 있어서 마음이 가벼워집니다. 앞으로도 건강 조심하시고 멋진 노래와 춤을 보여주세용,NTX의 팬이 되어 인생이 매우 즐겁습니다. NTX의 퍼포먼스를 보면 힘든 일도 잊을 수 있어서 마음이 가벼워집니다. 앞으로도 건강 조심하시고 멋진 노래와 춤을 보여주세용
https://flagcdn.com/w320/jp.png,bbaneyan,Japan,일본,eh4,eunho,#976a9a,9/1/2022,항상 응원하게 해줘서 고마워♡ 앞으로도 함께 하자~!! 사랑해~♡♡,항상 응원하게 해줘서 고마워♡ 앞으로도 함께 하자~!! 사랑해~♡♡
https://flagcdn.com/w320/id.png,Lili,Indonesia,Indonesia,ntx7,8,#EE2424,9/1/2022,,"Hello NTX~ Happy 4th Anniversary 🥰❤️💕 I hope you guys happy and healthy 🤗 I'm proud to see you guys get here. I didn't expect to be with you until now, it's almost my fifth year with you. We've been through a lot, fun but also painful. So hopefully tomorrow there's only fun we've been through together forever. I wish NTX existed forever. May more people love you guys in the future. I hope we'll stick together until whenever it's as ntx and ntful. Love you guys ❤️💕"
https://flagcdn.com/w320/jp.png,Y,Japan,일본,hj10,hyeongjin,#ebe9e9,9/1/2022,오래오래 함께하자~🤍,오래오래 함께하자~🤍
https://flagcdn.com/w320/jp.png,스즈,Japan,日本 JAPAN OSAKA,sw6,seungwon,#e4db54,9/1/2022,NTX 여러분 4주년 축하드려요🎉🎉🎉🎉 작년 NTX를 만나서 함께 축하할 수 있어서 기뻤어요! 앞으로도 계속 응원할게요🥰 8명 모두 사이좋게 행복하게 지내세요~( ¨̮ ),NTX 여러분 4주년 축하드려요🎉🎉🎉🎉 작년 NTX를 만나서 함께 축하할 수 있어서 기뻤어요! 앞으로도 계속 응원할게요🥰 8명 모두 사이좋게 행복하게 지내세요~( ¨̮ )
https://flagcdn.com/w320/jp.png,치카치카,Japan,일본,h10,Hojun,#81c3ad,9/1/2022,MTFUL4주년 축하해요! 항상 엔티플에게 행복을 고마워요😌앞으로도 열심히 응원할게요~!,MTFUL4주년 축하해요! 항상 엔티플에게 행복을 고마워요😌앞으로도 열심히 응원할게요~!
https://flagcdn.com/w320/br.png,Mayara,Brazil,"Curitiba,Brasil",yh11,Hyeongjin e yunhyeok,#EE2424,11/12/2022,,"It's a pleasure to be with you boys for another year, you fill me with pride and joy every day, even from a distance I feel an enormous affection for each member... thank you so much for the fandom that loves you so much, congratulations on your 4th anniversary, you are the best..i love you 🩷🫰😍🥹"
https://flagcdn.com/w320/bg.png,Dariya,Bulgaria,Bulgaria,h12,Hojun/Hyeongjin,#EE2424,1/1/2023,,"I'm so happy to know you. Thank you for working hard and showing us your artistry! You are truly all-rounders!! I feel so blessed to have met you in person, thank you for always being kind and considerate. I'm proud to be an NTFUL❣️ I hope I can see you in Europe, stay healthy & never lose your spark!"
https://flagcdn.com/w320/br.png,Bianca Amorim,Brazil,"Campina Grande, Paraíba - Brasil",hj4,Hyeongjin,#ebe9e9,2/1/2023,,"Thanks to you I created memories and made friendships I’ll cherish forever! Always grateful you guys came into my life, let’s continue together for a long time! Eu amo vocês 🤍🩵"
https://flagcdn.com/w320/de.png,citty,Germany,Germany,h6,hojun,#81c3ad,2/1/2023,,"10년 동안 나는 K-Pop 팬이었지만, 그 시간 중 최고의 순간은 지난 2년이었어, 내가 NTFUL이 되었을 때.🖤 NTX👏세계👏지배~🤟😝🔥😌🍸4주년 축하해~🥳🥂"
https://flagcdn.com/w320/fr.png,Eli,France,France,yh11,hyeok,#c24a8d,2/1/2023,,"Happy anniversary my boys!! Congratulations on this special day~ Thank you for being so amazing, talented, beautiful and kind. I love you and will forever support you ❤️"
https://flagcdn.com/w320/br.png,Let,Brazil,João Pessoa - Paraíba,eh1,Eunho,#976a9a,2/1/2023,,"To my dear NTX who is so precious, I love you so much and I thank you for spending this birthday together and may we be together for many years, see you soon ♥️"
https://flagcdn.com/w320/gb-sct.png,LexiLouWho,Scotland,"Edinburgh, Scotland",chheh,"Hojun, Eunho, & Changhun",#EE2424,2/1/2023,,"My loves!! I am so immensely proud of you! You continue to impress me daily, and I always love to see your creative genius at work! I’m so happy that more and more people around the world are falling in love with you guys, but I won’t forget your promise to me that you will come to the UK! ;) I can’t wait to see your upcoming stages and I’m excited to see what’s next for each and every one of you!! Love you so incredibly much! Happy anniversary my darlings! ❤️Lexi"
https://flagcdn.com/w320/br.png,mafê,Brazil,João pessoa,xh3,Xiha,#e06e3c,2/1/2023,"지난 몇 년 동안 열심히 일한 것을 축하하고 싶습니다! 그리고 투어의 도시에 João Pessoa를 포함시켜 주셔서 감사합니다. 다시 뵙게 되어 매우 기쁩니다! live, laugh, love ntx 💚","지난 몇 년 동안 열심히 일한 것을 축하하고 싶습니다! 그리고 투어의 도시에 João Pessoa를 포함시켜 주셔서 감사합니다. 다시 뵙게 되어 매우 기쁩니다! live, laugh, love ntx 💚"
https://flagcdn.com/w320/us.png,Steph,USA,"Phoenix, ARIZONA, USA",rw18,Rawhyun + OT8 💗,#a5bd5e,2/1/2023,,Our NTXies!!!! You have worked so hard for the past 4 years and your powerful performance has been amazing to watch! It’s been so fun to support you and see NTX grow over the past years. Please stay happy and healthy! Let’s spend forever more together!! We love you so much!!
https://flagcdn.com/w320/pl.png,Werka,Poland,Poland 🇵🇱,ntx12,8,#EE2424,2/22/2023,,"WASSUP SIR 🫡 The time I spent with you goes by very quickly, it's hard for me to believe that I've been your fan for over 2 years now! I'm glad that I could watch you grow as artists throughout this time. I am happy that you are getting better and better and you never give up 🥹 Your music means a lot to me and you always cheer me up, you are my escape from the gray, boring reality, for which I thank you very much 💜 I can't wait to see what else you'll surprise us with in the future! Love from your Vintage Girl 💜"
https://flagcdn.com/w320/id.png,Rara,Indonesia,Indonesia,heh,Hyeongjin Hojun Eunho,#EE2424,3/1/2023,,Happy Anniversary NTX 🖤 NTFUL~ Thank you for making me smile every day. I'm happy being a part of NTFUL ٩(ˊᗜˋ)و ~ may NTX continue to shine even brighter in the years to come and Let's make a big and strong fandom
https://flagcdn.com/w320/cn.png,yg,China,China,ntx13,8,#EE2424,3/1/2023,,永远会记得2023年的那个春天！ 看到你们对于梦想的坚持让我也有了力量！ 谢谢你们！会永远爱你们！加油加油！
https://flagpedia.net/data/flags/w1160/tw.png,탕위안,Taiwan,대만,xh12,xiha,#e06e3c,3/1/2023,데뷔 4주년 축하해용🎉❤️ 즐거운 하루 보내세요~~ 항상 힘이 되어주셔서 정말 고마워요( ˶ˊᵕˋ)੭♡ 우리 모두 행복하고 즐겁고 건강한 한 해 보내 ㅅㄹㅎ🥰,데뷔 4주년 축하해용🎉❤️ 즐거운 하루 보내세요~~ 항상 힘이 되어주셔서 정말 고마워요( ˶ˊᵕˋ)੭♡ 우리 모두 행복하고 즐겁고 건강한 한 해 보내 ㅅㄹㅎ🥰
https://flagcdn.com/w320/jp.png,askrrr,Japan,Japan,sw1,Seungwon,#e4db57,3/15/2023,데뷔 4주년 축하해~!! NTX의 무대가 정말 좋아요! 앞으로도 전 세계에서 활동하는 NTX에 기대하고 있어요! 그러니까 NTX로서 영원히 활동해주세요~!다시 한번도 축하해~!!,데뷔 4주년 축하해~!! NTX의 무대가 정말 좋아요! 앞으로도 전 세계에서 활동하는 NTX에 기대하고 있어요! 그러니까 NTX로서 영원히 활동해주세요~!다시 한번도 축하해~!!
https://flagcdn.com/w320/cn.png,Debbie,China,"Shanxi, China",hj5,Hyeongjin,#ebe9e9,3/15/2023,,"During the challenging times in my life, your music, your smiles, and your performance gave me so much strength. Seeing how hard you work for your dreams makes me want to become a better version of myself. Happy 4th anniversary! Let’s walk together all the way to the 100th anniversary!"
https://flagcdn.com/w320/br.png,Nabi vt,Brazil,Brasil,hj1,Hyeongjin,#ebe9e9,4/1/2023,,Espero que todos os desejos mais profundos de cada membro se realizem. Estarei aqui os apoiando e torcendo para que cada dia tenham mais sucesso e conquistem coisas incríveis como grupo e individualmente. O NTX merece todo o amor do mundo. Obrigada por fazerem meus dias mais felizes. TE AMO NTX ❤️
https://flagcdn.com/w320/ph.png,sasa,Philippines,Philippines,xh5,xiha,#e06e3c,4/1/2023,,"Happy Anniversary, dear NTX! Yay! 🎉 thank you for the amazing music & performances! you guys are really nice, lit & cool. No cap. 😎 our precious NTX, you guys deserve to congratulate and celebrate yourselves because you did great and keep on doing better 🫳🏻♠️ so proud to be your fan! 🥹 thank you for making more & more NTFULS happy & inspired 💖 excited for more fun times! NeoTracks, 화이팅! Woo, Let's Go! 🔥"
https://flagcdn.com/w320/gb.png,Sofia,United Kingdom,"Cambridge, United Kingdom",yh5,hyeok,#c24a8d,5/1/2023,,"I have been a K-pop fan for a long time now but NTX are super talented and hard working. I love their music, unique style and amazing attitude. I hope they never give up and continue to grow and succeed. I am proud to call myself NTFUL 💕 Hope you come to Europe soon 🩷"
https://flagcdn.com/w320/id.png,sha,Indonesia,"Indonesia, Bandung (e)",h15,"Hyeongjin, Rawhyun, Xiha",#EE2424,5/9/2023,,"Happy 4th anniversary, NTX 🥳 Thank you for staying here always. It's been more than 4 years since you started this journey, and now, NTFUL will also stay along by your side through this journey together. I may be an NTFUL whos face you haven't ever seen or voice you haven't ever heard, but I'm still an NTFUL who will sincerly always support you ~"
https://flagpedia.net/data/flags/w1160/sg.png,RIQA,Singapore,Singapore,eh2,Eunho,#976a9a,5/16/2023,"제 인생에 NTX가 있다는 것은 진정한 축복과 행복을 느끼게 해줍니다. 그들에 대한 무언가가 저를 끌어당기고 점점 더 많은 것을 알고 싶어지게 만듭니다. 앨범, 사운드클라우드 트랙, 유튜브 커버, 버블에 대한 진심 어린 메시지 등 NTFULLs가 저희를 위해 해주는 모든 것에 정말 감사드립니다. 그들의 음악은 기쁨과 위로, 영감을 줍니다. 열정과 노력에 감사드립니다, NTX 여러분. 저희 NTFULLs는 항상 진심을 다해 여러분을 응원하겠습니다!","Having NTX in my life makes me feel truly blessed and happy. Something about them draws me in, making me want to know more and more. I’m so grateful for everything they do for us, NTFULs—their albums, SoundCloud tracks, YouTube covers, and heartfelt messages on Bubble. Their music brings joy, comfort, and inspiration. Thank you, NTX, for your passion and hard work. We, NTFULs, will always support you with all our hearts!"
https://flagcdn.com/w320/pt.png,나나,Portugal,"Lisbon, Portugal",hj8,hyeongjin,#ebe9e9,6/9/2023,울 엔티엑스.. 과거를 돌아보며 함께 얼마나 성장했는지 서로의 곁을 놓지 않고 이렇게 걸어온 시간이 정말 소중해.. 좋은 아이돌은 좋은 팬을 만든다니까 오늘 같은 날 이렇게 다 함께 있다는 게 정말 행복해!! 태어난 것도 감사하고 앞으로도 두려움 없이 함께 할 우리에게 진심으로 고마워!,울 엔티엑스.. 과거를 돌아보며 함께 얼마나 성장했는지 서로의 곁을 놓지 않고 이렇게 걸어온 시간이 정말 소중해.. 좋은 아이돌은 좋은 팬을 만든다니까 오늘 같은 날 이렇게 다 함께 있다는 게 정말 행복해!! 태어난 것도 감사하고 앞으로도 두려움 없이 함께 할 우리에게 진심으로 고마워!
https://flagcdn.com/w320/pt.png,아나,Portugal,"Lisbon, Portugal",rwsw,seungwon raw,#e4db54,6/9/2023,항상 나에게 웃을 이유를 줘서 고마워. 너희가 없었다면 인생이 훨씬 더 힘들었을 거야. 언제나 NTFUL인 게 자랑스러울 거야!! NTX 화이팅!!,항상 나에게 웃을 이유를 줘서 고마워. 너희가 없었다면 인생이 훨씬 더 힘들었을 거야. 언제나 NTFUL인 게 자랑스러울 거야!! NTX 화이팅!!
https://flagcdn.com/w320/jp.png,아카네,Japan,,ch2,Changhun,#6d8db7,6/25/2023,"엔티엑스 4주년 축하해요오오오~!!
앞으로도 오래오래 화이팅 가자~🔥🔥🔥🔥🔥🔥🔥🔥","엔티엑스 4주년 축하해요오오오~!!
앞으로도 오래오래 화이팅 가자~🔥🔥🔥🔥🔥🔥🔥🔥"
https://flagcdn.com/w320/jp.png,슈리,Japan,일본,eh6,eunho,#976a9a,7/1/2023,4주년 축하해! 모두가 위를 보고 열심히 하는 것을 보고 저도 힘을 얻고 있습니다! 항상 NTFUL에 사랑을 전해줘서 고마워요🩷지난 1년도 세계를 누비면서 Kiss the World 하세요💋 건강이 제일이고 함께 걸어요~난쿠루나이싸〜,4주년 축하해! 모두가 위를 보고 열심히 하는 것을 보고 저도 힘을 얻고 있습니다! 항상 NTFUL에 사랑을 전해줘서 고마워요🩷지난 1년도 세계를 누비면서 Kiss the World 하세요💋 건강이 제일이고 함께 걸어요~난쿠루나이싸〜
https://flagcdn.com/w320/jp.png,mayu,Japan,日本 千葉県,h4,Hojun,#81c3ad,8/1/2023,,NTXの幸せはNTFULの幸せであり、私の幸せにつながります。そしてそこからたくさんのHappyが生まれてます NTX、NTFULの皆さん、幸せをありがとうございます🫶
https://flagcdn.com/w320/jp.png,토코,Japan,일본,sw7,seungwon,#e4db54,9/1/2023,엔티엑스 4주년 축하해요~!!!!!! 언제 어디에 있든 모두의 행복을 바라고 있어용!! 앞으로도 마~~~니 멋있게 뛰어가세요!❤️ 좋아해요 엔티엑스~~~~~(๑•ᴗ•๑) 다시 한번 축하해요!!,엔티엑스 4주년 축하해요~!!!!!! 언제 어디에 있든 모두의 행복을 바라고 있어용!! 앞으로도 마~~~니 멋있게 뛰어가세요!❤️ 좋아해요 엔티엑스~~~~~(๑•ᴗ•๑) 다시 한번 축하해요!!
https://flagcdn.com/w320/jp.png,아키콩,Japan,Japan Tokyo,hj9,hyeongjin,#ebe9e9,10/1/2023,데뷔 4주년 축하해요！ NTFUL이 되서 정말 행복해요🫶🏻‎ 앞으러도 오래오래 같이 가자～Skrr❣️,데뷔 4주년 축하해요！ NTFUL이 되서 정말 행복해요🫶🏻‎ 앞으러도 오래오래 같이 가자～Skrr❣️
https://flagcdn.com/w320/lv.png,AE,Latvia,"Riga, Latvia",hj2,Hyeongjin,#EE2424,11/1/2023,,"hi hi~ four years is a long time! do you feel proud when you look back and see how far you’ve come? I do! I have a bad habit of bragging about the people I like. “Did you know they did this? Did you know they did that?”~ there’s a hundred things I can brag about when I speak of NTX. it’s been a pleasure to follow you. I’ve seen small happinesses and I’ve seen big ones. and same goes for sadnesses. they’ve all added value to my life, whether it’s joy or compassion. thank you for everything! let’s keep going no matter what~ with a lot of pride and love, AE"
https://flagcdn.com/w320/nz.png,Chels,New Zealand,New Zealand,h11,Hojun and Seungwon,#EE2424,11/1/2023,,Happy 4th Anniversary! 💗 Thank you for being my sunshine on a rainy day ☀️ I hope we can spend many more years together. Always be happy and healthy. Love you all 💗
https://flagcdn.com/w320/us.png,kuromi,USA,"chicago, usa",rw7,rawhyun,#a5bd5e,11/27/2023,,"my entis, my forever, happy anniversary !! you already know how much i love you, but it doesn't hurt to tell you again >.< let's be happy this year and make good memories <3"
https://flagcdn.com/w320/br.png,Apollo,Brazil,"Brasília, Brasil",hj3,Hyeongjin,#ebe9e9,12/1/2023,,"Hello NTX, the group's 4th anniversary is here, 4 years of dedication, love for the fans and always giving everything to us through the songs. I just have to thank each and every one of you for making me smile and feel alive, thank you for appearing in my life when I needed it most. I love you all very much and I'm eagerly waiting for you here in Brazil <3"
https://flagcdn.com/w320/br.png,duda,Brazil,"João Pessoa., Brasil",h2,Hojun,#81c3ad,12/1/2023,,"Parabéns meninos, voltem sempre ao Brasil, estaremos sempre de braços abertos <3<3"
https://flagcdn.com/w320/us.png,Hailey,USA,USA,ntx11,8,#EE2424,12/1/2023,,"Hi NTX! I just wanted to say Happy 4th Anniversary! Thank you for giving me so much happiness in my life. Whether it's through your dancing, singing, or even just your smile, you always give me so much joy and comfort. I listen to your guy's songs every single day. You all inspire me so much and I am so glad I have been able to meet you. I love you all so much and I can't wait to see what you do in the future. I will always be supporting you guys. Thank you for everything."
https://flagcdn.com/w320/at.png,Beca,Austria,"Salzburg, Austria",ntx1,8,#EE2424,12/19/2023,,"Happy anniversary! A more perfect debut date for you guys doesn’t exist. Celebrating year after year around the days that flowers bloom and the world comes back to life is just fitting for you in my eyes. You’ve brought so so so much joy and beauty back into my life. Be it through the music, the performances or the parts of you I’m allowed to see. Thank you all for that, for everything you do and making it possible for me to meet lots and lots of cute ntfuls from all around the world. Love, Beca"
